symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
CELOBUSD,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
FTMRUB,0.0,0.0,0.0,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
NUAUD,0.0,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
NURUB,0.0,0.0,0.0,41.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
REEFTRY,-0.00605,-7.811,0.07593386,0.07732,0.0714,513802.0,0.0717,25499.0,0.07191,7296.0,0.07745,0.07975,0.07067,163474662.0,12413262.54423,2024-04-24 02:35:07.450,2024-04-25 02:35:07.450,7149468,7155517,6050,2024-04-25
REEFBIDR,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
SHIBDOGE,2.4e-06,1.437,0.00016842,0.0001666,0.0001694,2724178.0,0.0001694,48401238.0,0.0001697,16532100.0,0.000167,0.0001705,0.0001654,56579819160.0,9529344.7539008,2024-04-24 02:34:22.272,2024-04-25 02:34:22.272,7886678,7892641,5964,2024-04-25
DARUSDT,-0.01184,-6.791,0.17019633,0.1744,0.1625,56.0,0.16232,119.0,0.1624,96.0,0.17434,0.1799,0.15918,15917134.0,2709037.84163,2024-04-24 02:35:09.349,2024-04-25 02:35:09.349,55278223,55332890,54668,2024-04-25
DARBUSD,0.0,0.0,0.0,0.07995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
DARBNB,0.0,0.0,0.0,0.00037248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
DARBTC,-1e-07,-3.817,2.57e-06,2.61e-06,2.52e-06,4728.0,2.52e-06,4580.0,2.53e-06,14377.0,2.62e-06,2.69e-06,2.49e-06,401245.0,1.03250857,2024-04-24 02:35:07.745,2024-04-25 02:35:07.745,3575604,3576970,1367,2024-04-25
BNXBTC,-9e-08,-0.597,1.506e-05,1.505e-05,1.498e-05,8.3,1.496e-05,258.2,1.499e-05,1567.9,1.507e-05,1.62e-05,1.44e-05,624333.1,9.39997226,2024-04-24 02:35:07.619,2024-04-25 02:35:07.619,1954153,1964081,9929,2024-04-25
BNXBNB,0.0,0.0,0.0,0.001227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
BNXBUSD,0.0,0.0,0.0,0.2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
BNXUSDT,-0.0411,-4.093,0.99354239,1.0036,0.963,156.8,0.9631,8.7,0.9633,538.5,1.0041,1.08,0.9338,29803649.6,29611189.19166,2024-04-24 02:35:08.884,2024-04-25 02:35:08.884,28239844,28500357,260514,2024-04-25
RGTUSDT,0.0,0.0,0.0,14.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
