symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
ETHBTC,-0.00090000,-1.750,0.05096675,0.05143000,0.05054000,1.26710000,0.05053000,46.72910000,0.05054000,0.59550000,0.05144000,0.05147000,0.05043000,29393.21390000,1498.07644668,1711900565817,1711986965817,438956384,439043594,87211,2024-04-01 12:56:06
LTCBTC,-0.00002700,-1.844,0.00151627,0.00146400,0.00143700,0.79700000,0.00143600,12.08200000,0.00143700,50.60400000,0.00146400,0.00159000,0.00143000,210313.00500000,318.89193201,1711900565794,1711986965794,96346451,96406320,59870,2024-04-01 12:56:06
BNBBTC,-0.00017100,-1.998,0.00844394,0.00855900,0.00838800,1.21700000,0.00838700,8.52500000,0.00838800,0.21600000,0.00855900,0.00860000,0.00828600,43155.09000000,364.39883635,1711900565787,1711986965787,238134341,238223501,89161,2024-04-01 12:56:06
NEOBTC,-0.00000490,-2.145,0.00023193,0.00022840,0.00022350,22.89000000,0.00022340,191.18000000,0.00022380,73.47000000,0.00022840,0.00023660,0.00022260,70986.95000000,16.46407033,1711900565500,1711986965500,46257841,46262865,5025,2024-04-01 12:56:06
QTUMETH,-0.00004100,-3.104,0.00133605,0.00131800,0.00128000,2.90000000,0.00127400,848.80000000,0.00127800,90.00000000,0.00132100,0.00135500,0.00127000,9859.90000000,13.17330980,1711900558724,1711986958724,5438812,5439019,208,2024-04-01 12:56:06
EOSETH,-0.00000490,-1.628,0.00029964,0.00030100,0.00029600,40.90000000,0.00029600,98.50000000,0.00029630,327.00000000,0.00030090,0.00030860,0.00029340,76612.10000000,22.95581315,1711900563250,1711986963250,23577897,23579129,1233,2024-04-01 12:56:06
SNTETH,-0.00000037,-2.689,0.00001369,0.00001380,0.00001339,6437.00000000,0.00001339,685.00000000,0.00001341,4319.00000000,0.00001376,0.00001405,0.00001337,267939.00000000,3.66913129,1711900562484,1711986962484,3983069,3983269,201,2024-04-01 12:56:06
BNTETH,-0.00000590,-2.354,0.00024911,0.00024990,0.00024470,29.40000000,0.00024250,1713.30000000,0.00024330,238.10000000,0.00025060,0.00025350,0.00024140,28108.60000000,7.00215604,1711900556433,1711986956433,2306228,2306426,199,2024-04-01 12:56:06
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
GASBTC,-0.00000390,-3.984,0.00009657,0.00009770,0.00009400,42.70000000,0.00009390,242.20000000,0.00009410,348.90000000,0.00009790,0.00009880,0.00009360,15986.80000000,1.54386540,1711900563226,1711986963226,22246159,22247035,877,2024-04-01 12:56:06
BNBETH,-0.00050000,-0.300,0.16586633,0.16630000,0.16590000,3.00200000,0.16590000,22.07700000,0.16600000,6.91000000,0.16640000,0.16950000,0.16340000,9408.60400000,1560.57058180,1711900564120,1711986964120,58690907,58710446,19540,2024-04-01 12:56:06
BTCUSDT,-1939.80000000,-2.757,69828.92387753,70359.99000000,68420.20000000,0.08199000,68420.20000000,0.10000000,68420.21000000,2.58656000,70360.00000000,71366.00000000,68161.48000000,36020.88104000,2515299360.14384080,1711900565825,1711986965825,3523548904,3525275067,1726164,2024-04-01 12:56:06
ETHUSDT,-160.61000000,-4.439,3558.44483554,3618.40000000,3457.79000000,13.41360000,3457.54000000,0.86760000,3457.61000000,13.74650000,3618.40000000,3655.32000000,3452.40000000,356007.42390000,1266832778.99100900,1711900565826,1711986965826,1377386204,1378375829,989626,2024-04-01 12:56:06
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
WTCBTC,0.00000000,0.000,0.00000000,0.00000024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
LRCBTC,-0.00000017,-3.114,0.00000534,0.00000546,0.00000529,208.00000000,0.00000528,36946.00000000,0.00000530,24150.00000000,0.00000546,0.00000547,0.00000523,602941.00000000,3.22110488,1711900565809,1711986965809,22537809,22539939,2131,2024-04-01 12:56:06
LRCETH,-0.00000086,-0.812,0.00010468,0.00010617,0.00010504,74.00000000,0.00010460,337.00000000,0.00010498,718.00000000,0.00010590,0.00010700,0.00010308,154566.00000000,16.18022203,1711900564792,1711986964792,4801689,4801816,128,2024-04-01 12:56:06
QTUMBTC,-0.00000344,-5.066,0.00006716,0.00006817,0.00006446,3.70000000,0.00006438,11.10000000,0.00006454,167.60000000,0.00006790,0.00006931,0.00006428,22684.30000000,1.52345642,1711900564657,1711986964657,24395028,24395703,676,2024-04-01 12:56:06
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752104089,1710838504089,-1,-1,0,2024-04-01 12:56:06
