symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
ETHBTC,-0.00120000,-2.339,0.05065954,0.05130000,0.05010000,0.49040000,0.05010000,21.76420000,0.05011000,19.83870000,0.05130000,0.05134000,0.04985000,39090.16710000,1980.29002942,1711919256711,1712005656711,438971731,439081873,110143,2024-04-01 18:07:37
LTCBTC,-0.00006600,-4.438,0.00151150,0.00148900,0.00142100,4.16700000,0.00142000,0.79000000,0.00142100,129.25000000,0.00148700,0.00159000,0.00141700,204989.04400000,309.84194570,1711919256665,1712005656665,96353740,96411965,58226,2024-04-01 18:07:37
BNBBTC,-0.00024700,-2.883,0.00841463,0.00856400,0.00831900,0.11300000,0.00831900,3.81100000,0.00832000,3.17700000,0.00856600,0.00860000,0.00828600,49785.05800000,418.92275507,1711919256685,1712005656685,238145920,238243276,97357,2024-04-01 18:07:37
NEOBTC,-0.00000410,-1.801,0.00023148,0.00022790,0.00022360,13.49000000,0.00022340,14.59000000,0.00022360,7.13000000,0.00022770,0.00023660,0.00022110,73820.88000000,17.08808161,1711919243445,1712005643445,46258075,46263252,5178,2024-04-01 18:07:37
QTUMETH,-0.00002900,-2.200,0.00133395,0.00132000,0.00128900,1.50000000,0.00128600,114.20000000,0.00128900,111.10000000,0.00131800,0.00135500,0.00127000,9772.00000000,13.03537100,1711919256674,1712005656674,5438851,5439029,179,2024-04-01 18:07:37
EOSETH,-0.00000660,-2.172,0.00029941,0.00030360,0.00029730,7.30000000,0.00029730,65.30000000,0.00029780,517.70000000,0.00030390,0.00030860,0.00029340,78742.60000000,23.57602467,1711919239716,1712005639716,23577995,23579264,1270,2024-04-01 18:07:37
SNTETH,-0.00000038,-2.748,0.00001368,0.00001383,0.00001345,219.00000000,0.00001350,2125.00000000,0.00001354,8745.00000000,0.00001383,0.00001405,0.00001337,273203.00000000,3.73831623,1711919227626,1712005627626,3983076,3983278,203,2024-04-01 18:07:37
BNTETH,-0.00000730,-2.893,0.00024756,0.00025230,0.00024500,5.30000000,0.00024410,159.60000000,0.00024480,234.30000000,0.00025230,0.00025350,0.00024140,19861.10000000,4.91683066,1711919255992,1712005655992,2306268,2306437,170,2024-04-01 18:07:37
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1710752605706,1710839005706,-1,-1,0,2024-04-01 18:07:37
GASBTC,-0.00000430,-4.388,0.00009579,0.00009800,0.00009370,62.30000000,0.00009370,305.60000000,0.00009390,298.40000000,0.00009800,0.00009880,0.00009280,18271.90000000,1.75033483,1711919255891,1712005655891,22246263,22247241,979,2024-04-01 18:07:37
BNBETH,-0.00090000,-0.539,0.16585940,0.16700000,0.16610000,0.01000000,0.16600000,14.64400000,0.16610000,5.68800000,0.16700000,0.16930000,0.16340000,10669.65500000,1769.66254270,1711919256697,1712005656697,58694387,58715599,21213,2024-04-01 18:07:37
