symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
ETHBTC,0.00063,1.299,0.04898328,0.0485,0.04913,1.0392,0.04913,22.4517,0.04914,22.334,0.0485,0.04938,0.0484,33425.0575,1637.26898498,2024-04-24 02:17:22.654,2024-04-25 02:17:22.654,441876604,442092672,216069,2024-04-25
LTCBTC,3e-06,0.233,0.0013059,0.00129,0.001293,3.814,0.001292,171.355,0.001293,1.9,0.00129,0.001331,0.001282,101139.041,132.0777772,2024-04-24 02:17:22.088,2024-04-25 02:17:22.088,96975441,96997169,21729,2024-04-25
BNBBTC,0.000372,4.103,0.00926312,0.009065,0.009438,9.566,0.009437,11.744,0.009438,0.01,0.009066,0.009576,0.009039,58691.755,543.66869838,2024-04-24 02:17:22.614,2024-04-25 02:17:22.614,240733471,240952558,219088,2024-04-25
NEOBTC,-3.4e-06,-1.212,0.00027927,0.0002807,0.0002771,0.5,0.0002773,706.21,0.0002777,67.41,0.0002805,0.0002855,0.0002739,42478.45,11.86299342,2024-04-24 02:17:21.858,2024-04-25 02:17:21.858,46432609,46435283,2675,2024-04-25
QTUMETH,-4.1e-05,-3.151,0.00127721,0.001309,0.00126,214.9,0.001264,14.9,0.00127,50.0,0.001301,0.001302,0.001258,2700.3,3.4488405,2024-04-24 02:17:20.061,2024-04-25 02:17:20.061,5446124,5446233,110,2024-04-25
EOSETH,3.58e-05,13.722,0.00027019,0.0002612,0.0002967,15.9,0.0002957,107.1,0.0002961,15.9,0.0002609,0.0003053,0.0002597,1262724.7,341.17494926,2024-04-24 02:17:20.885,2024-04-25 02:17:20.885,23621996,23626631,4636,2024-04-25
SNTETH,-1.04e-06,-7.423,1.405e-05,1.406e-05,1.297e-05,4478.0,1.299e-05,9347.0,1.303e-05,8555.0,1.401e-05,1.451e-05,1.297e-05,2048869.0,28.7888238,2024-04-24 02:17:20.059,2024-04-25 02:17:20.059,3991814,3992979,1166,2024-04-25
BNTETH,8e-07,0.35,0.0002332,0.000231,0.0002294,10.7,0.0002294,151.8,0.0002305,275.8,0.0002286,0.0002375,0.000228,42002.5,9.79516716,2024-04-24 02:17:20.630,2024-04-25 02:17:20.630,2324759,2325123,365,2024-04-25
BCCBTC,0.0,0.0,0.0,0.079081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
GASBTC,-1.6e-06,-1.898,8.477e-05,8.46e-05,8.27e-05,26.1,8.27e-05,132.8,8.29e-05,85.7,8.43e-05,8.68e-05,8.19e-05,20411.2,1.7302845,2024-04-24 02:17:22.058,2024-04-25 02:17:22.058,22297317,22298362,1046,2024-04-25
BNBETH,0.0051,2.727,0.18850282,0.187,0.1921,1.55,0.1921,4.939,0.1922,3.546,0.187,0.1954,0.1844,15129.848,2852.0190153,2024-04-24 02:17:22.251,2024-04-25 02:17:22.251,59320910,59356593,35684,2024-04-25
BTCUSDT,-2404.33,-3.607,65210.08511285,66662.74,64258.42,0.0001,64258.41,6.58706,64258.42,2.11815,66662.75,67070.43,63606.06,34306.51449,2237130729.8180275,2024-04-24 02:17:23.005,2024-04-25 02:17:23.005,3571616259,3573412567,1796309,2024-04-25
ETHUSDT,-76.13,-2.355,3201.9309312,3233.33,3157.2,0.019,3157.19,37.3723,3157.2,15.6183,3233.33,3293.56,3104.9,409448.0841,1311024485.20181,2024-04-24 02:17:22.943,2024-04-25 02:17:22.943,1404345479,1405492595,1147117,2024-04-25
HSRBTC,0.0,0.0,0.0,0.000414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
OAXETH,0.0,0.0,0.0,0.0001778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
DNTETH,0.0,0.0,0.0,2.801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
MCOETH,0.0,0.0,0.0,0.005772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
ICNETH,0.0,0.0,0.0,0.001663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
MCOBTC,0.0,0.0,0.0,0.0002114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
WTCBTC,0.0,0.0,0.0,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
WTCETH,0.0,0.0,0.0,0.000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
LRCBTC,-1e-07,-2.392,4.15e-06,4.18e-06,4.08e-06,3836.0,4.08e-06,4932.0,4.09e-06,8049.0,4.18e-06,4.28e-06,4.06e-06,1000971.0,4.15105266,2024-04-24 02:17:18.716,2024-04-25 02:17:18.716,22576756,22578189,1434,2024-04-25
LRCETH,-2.89e-06,-3.368,8.484e-05,8.637e-05,8.291e-05,699.0,8.299e-05,700.0,8.319e-05,1521.0,8.58e-05,8.661e-05,8.286e-05,70246.0,5.95951738,2024-04-24 02:17:20.447,2024-04-25 02:17:20.447,4809845,4810068,224,2024-04-25
QTUMBTC,-1.43e-06,-2.249,6.279e-05,6.357e-05,6.216e-05,55.7,6.215e-05,21.8,6.226e-05,241.4,6.359e-05,6.437e-05,6.15e-05,16850.2,1.05804598,2024-04-24 02:17:22.752,2024-04-25 02:17:22.752,24418611,24419124,514,2024-04-25
YOYOBTC,0.0,0.0,0.0,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
OMGBTC,0.0,0.0,0.0,3.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
OMGETH,0.0,0.0,0.0,0.000791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
ZRXBTC,-3.9e-07,-4.632,8.18e-06,8.44e-06,8.03e-06,18.0,8.04e-06,140.0,8.06e-06,906.0,8.42e-06,8.48e-06,7.96e-06,229351.0,1.87631803,2024-04-24 02:17:22.194,2024-04-25 02:17:22.194,26131715,26132436,722,2024-04-25
ZRXETH,0.0,0.0,0.0,9.94e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
STRATBTC,0.0,0.0,0.0,3.085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:25:59.384,2024-04-05 06:25:59.384,-1,-1,0,2024-04-25
